Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Makanan berpati,Sagu/Tepung sagu,2003,192.96,77.18,0.03,0.31,-1.79,0,0,0,14.01,0.57,,64.12,0.3,0.82,2,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2004,313,125,0,1,-3,0,0,0,23,1,,104,0.48,1.32,3,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2005,426,170,0,0,0,0,0,0,30,1,,139,0.63,1.73,4,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2006,297,119,0,0,0,0,0,0,4,1,,114,0.51,1.4,3,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2007,523,209,1,5,0,0,0,0,23,1,,181,0.8,2.19,5,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2008,438,175,0,8,0,0,0,0,36,1,,130,0.57,1.56,3,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2009,322,129,3,6,0,0,0,0,19,1,,108,0.46,1.26,3,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2010,225,90,0,5,0,0,0,0,17,1,,67,0.28,0.77,2,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2011,430,86,7,6,0,0,0,0,8,1,,78,0.32,0.88,3,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2012,438,88,0,5,0,0,0,0,9,1,,73,0.3,0.82,3,0,0,1,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2013,224,89,0,6,0,0,0,0,19,1,,64,0.26,0.71,2,0,0,2,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1993,1724,483,0,442,0,0,0,0,41,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1994,675,189,132,251,0,0,0,0,70,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1995,657,184,3,98,0,0,0,0,89,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1996,703,197,2,121,0,0,0,0,78,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1997,100,28,105,61,0,0,0,0,72,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
